ChannelType,MonthYear,M_Value,PaymentType
Credit card,JAN 2010,13401203.0,Plastic cards
ATM card,JAN 2010,19268868.0,Plastic cards
Debit card,JAN 2010,29704814.0,Plastic cards
Credit card,FEB 2010,13402358.0,Plastic cards
ATM card,FEB 2010,19257368.0,Plastic cards
Debit card,FEB 2010,30266779.0,Plastic cards
Credit card,MAR 2010,13452731.0,Plastic cards
ATM card,MAR 2010,19183756.0,Plastic cards
Debit card,MAR 2010,30329961.0,Plastic cards
Credit card,APR 2010,13520714.0,Plastic cards
ATM card,APR 2010,18852809.0,Plastic cards
Debit card,APR 2010,30688564.0,Plastic cards
Credit card,MAY 2010,13426153.0,Plastic cards
ATM card,MAY 2010,18795629.0,Plastic cards
Debit card,MAY 2010,31015779.0,Plastic cards
Credit card,JUN 2010,13538360.0,Plastic cards
ATM card,JUN 2010,18932627.0,Plastic cards
Debit card,JUN 2010,31500071.0,Plastic cards
Credit card,JUL 2010,13618990.0,Plastic cards
ATM card,JUL 2010,17871998.0,Plastic cards
Debit card,JUL 2010,31516218.0,Plastic cards
Credit card,AUG 2010,13714078.0,Plastic cards
ATM card,AUG 2010,18949152.0,Plastic cards
Debit card,AUG 2010,31903813.0,Plastic cards
Credit card,SEP 2010,13895259.0,Plastic cards
ATM card,SEP 2010,18783965.0,Plastic cards
Debit card,SEP 2010,32112588.0,Plastic cards
Credit card,OCT 2010,14013244.0,Plastic cards
ATM card,OCT 2010,18709053.0,Plastic cards
Debit card,OCT 2010,32512752.0,Plastic cards
Credit card,NOV 2010,14105928.0,Plastic cards
ATM card,NOV 2010,18655454.0,Plastic cards
Debit card,NOV 2010,32948806.0,Plastic cards
Credit card,DEC 2010,14187815.0,Plastic cards
ATM card,DEC 2010,18562689.0,Plastic cards
Debit card,DEC 2010,33367315.0,Plastic cards
Credit card,JAN 2011,14207236.0,Plastic cards
ATM card,JAN 2011,18436565.0,Plastic cards
Debit card,JAN 2011,33413551.0,Plastic cards
Credit card,FEB 2011,14247721.0,Plastic cards
ATM card,FEB 2011,18381388.0,Plastic cards
Debit card,FEB 2011,33821535.0,Plastic cards
Credit card,MAR 2011,14320259.0,Plastic cards
ATM card,MAR 2011,18014113.0,Plastic cards
Debit card,MAR 2011,34118954.0,Plastic cards
Credit card,APR 2011,14469621.0,Plastic cards
ATM card,APR 2011,17863353.0,Plastic cards
Debit card,APR 2011,34523234.0,Plastic cards
Credit card,MAY 2011,14507854.0,Plastic cards
ATM card,MAY 2011,17655859.0,Plastic cards
Debit card,MAY 2011,35031597.0,Plastic cards
Credit card,JUN 2011,14665169.0,Plastic cards
ATM card,JUN 2011,17190518.0,Plastic cards
Debit card,JUN 2011,35581846.0,Plastic cards
Credit card,JUL 2011,14722652.0,Plastic cards
ATM card,JUL 2011,17176453.0,Plastic cards
Debit card,JUL 2011,35509304.0,Plastic cards
Credit card,AUG 2011,14914175,Plastic cards
ATM card,AUG 2011,16489465,Plastic cards
Debit card,AUG 2011,35958810,Plastic cards
Credit card,SEP 2011,15080118.0,Plastic cards
ATM card,SEP 2011,16312763.0,Plastic cards
Debit card,SEP 2011,36200214.0,Plastic cards
Credit card,OCT 2011,15036951.0,Plastic cards
ATM card,OCT 2011,16368807.0,Plastic cards
Debit card,OCT 2011,36466335.0,Plastic cards
Credit card,NOV 2011,15151037.0,Plastic cards
ATM card,NOV 2011,16269875.0,Plastic cards
Debit card,NOV 2011,36796468.0,Plastic cards
Credit card,DEC 2011,15328291.0,Plastic cards
ATM card,DEC 2011,16201587.0,Plastic cards
Debit card,DEC 2011,37363365.0,Plastic cards
Credit card,JAN 2012,15269123.0,Plastic cards
ATM card,JAN 2012,15855889.0,Plastic cards
Debit card,JAN 2012,37047600.0,Plastic cards
Credit card,FEB 2012,15436479.0,Plastic cards
ATM card,FEB 2012,15739771.0,Plastic cards
Debit card,FEB 2012,36784376.0,Plastic cards
Credit card,MAR 2012,15628273.0,Plastic cards
ATM card,MAR 2012,15708349.0,Plastic cards
Debit card,MAR 2012,37775931.0,Plastic cards
Credit card,APR 2012,15693900.0,Plastic cards
ATM card,APR 2012,15536151.0,Plastic cards
Debit card,APR 2012,37941214.0,Plastic cards
Credit card,MAY 2012,15828095.0,Plastic cards
ATM card,MAY 2012,15484542.0,Plastic cards
Debit card,MAY 2012,38507940.0,Plastic cards
Credit card,JUN 2012,15980342.0,Plastic cards
ATM card,JUN 2012,15369069.0,Plastic cards
Debit card,JUN 2012,38979317.0,Plastic cards
Credit card,JUL 2012,16067841.0,Plastic cards
ATM card,JUL 2012,15378658.0,Plastic cards
Debit card,JUL 2012,39516260.0,Plastic cards
Credit card,AUG 2012,16205419.0,Plastic cards
ATM card,AUG 2012,15357812.0,Plastic cards
Debit card,AUG 2012,39850338.0,Plastic cards
Credit card,SEP 2012,16361717.0,Plastic cards
ATM card,SEP 2012,15370001.0,Plastic cards
Debit card,SEP 2012,40154702.0,Plastic cards
Credit card,OCT 2012,16517103.0,Plastic cards
ATM card,OCT 2012,15264988.0,Plastic cards
Debit card,OCT 2012,40295799.0,Plastic cards
Credit card,NOV 2012,16731153.0,Plastic cards
ATM card,NOV 2012,15202345.0,Plastic cards
Debit card,NOV 2012,40667375.0,Plastic cards
Credit card,DEC 2012,16870025.0,Plastic cards
ATM card,DEC 2012,15171998.0,Plastic cards
Debit card,DEC 2012,40678603.0,Plastic cards
Credit card,JAN 2013,17031506.0,Plastic cards
ATM card,JAN 2013,15122725.0,Plastic cards
Debit card,JAN 2013,40931391.0,Plastic cards
Credit card,FEB 2013,17134547.0,Plastic cards
ATM card,FEB 2013,15071302.0,Plastic cards
Debit card,FEB 2013,40820605.0,Plastic cards
Credit card,MAR 2013,17269576.0,Plastic cards
ATM card,MAR 2013,15000242.0,Plastic cards
Debit card,MAR 2013,40935444.0,Plastic cards
Credit card,APR 2013,17141676.0,Plastic cards
ATM card,APR 2013,14957017.0,Plastic cards
Debit card,APR 2013,41182631.0,Plastic cards
Credit card,MAY 2013,17299941.0,Plastic cards
ATM card,MAY 2013,14913261.0,Plastic cards
Debit card,MAY 2013,41512987.0,Plastic cards
Credit card,JUN 2013,17473108.0,Plastic cards
ATM card,JUN 2013,14925400.0,Plastic cards
Debit card,JUN 2013,41607157.0,Plastic cards
Credit card,JUL 2013,17863938.0,Plastic cards
ATM card,JUL 2013,14917900.0,Plastic cards
Debit card,JUL 2013,41993561.0,Plastic cards
Credit card,AUG 2013,17720143.0,Plastic cards
ATM card,AUG 2013,14907571.0,Plastic cards
Debit card,AUG 2013,42203595.0,Plastic cards
Credit card,SEP 2013,18105540.0,Plastic cards
ATM card,SEP 2013,14827265.0,Plastic cards
Debit card,SEP 2013,42069952.0,Plastic cards
Credit card,OCT 2013,18240281.0,Plastic cards
ATM card,OCT 2013,14784331.0,Plastic cards
Debit card,OCT 2013,42259479.0,Plastic cards
Credit card,NOV 2013,18375132.0,Plastic cards
ATM card,NOV 2013,14752803.0,Plastic cards
Debit card,NOV 2013,42331320.0,Plastic cards
Credit card,DEC 2013,18548754.0,Plastic cards
ATM card,DEC 2013,14699210.0,Plastic cards
Debit card,DEC 2013,42343959.0,Plastic cards
Credit card,JAN 2014,18626864.0,Plastic cards
ATM card,JAN 2014,14661972.0,Plastic cards
Debit card,JAN 2014,42618577.0,Plastic cards
Credit card,FEB 2014,18752469.0,Plastic cards
ATM card,FEB 2014,14629978.0,Plastic cards
Debit card,FEB 2014,42820775.0,Plastic cards
Credit card,MAR 2014,18930185.0,Plastic cards
ATM card,MAR 2014,14575828.0,Plastic cards
Debit card,MAR 2014,42894624.0,Plastic cards
Credit card,APR 2014,19049976.0,Plastic cards
ATM card,APR 2014,14517731.0,Plastic cards
Debit card,APR 2014,43138953.0,Plastic cards
Credit card,MAY 2014,19208027.0,Plastic cards
ATM card,MAY 2014,14365430.0,Plastic cards
Debit card,MAY 2014,43429534.0,Plastic cards
Credit card,JUN 2014,19371944.0,Plastic cards
ATM card,JUN 2014,14273126.0,Plastic cards
Debit card,JUN 2014,43759030.0,Plastic cards
Credit card,JUL 2014,19527033.0,Plastic cards
ATM card,JUL 2014,14226561.0,Plastic cards
Debit card,JUL 2014,44074489.0,Plastic cards
Credit card,AUG 2014,19719820.0,Plastic cards
ATM card,AUG 2014,14214650.0,Plastic cards
Debit card,AUG 2014,44308818.0,Plastic cards
Credit card,SEP 2014,19902030.0,Plastic cards
ATM card,SEP 2014,14190640.0,Plastic cards
Debit card,SEP 2014,44486474.0,Plastic cards
Credit card,OCT 2014,20065566.0,Plastic cards
ATM card,OCT 2014,14212898.0,Plastic cards
Debit card,OCT 2014,44632246.0,Plastic cards
Credit card,NOV 2014,20182846.0,Plastic cards
ATM card,NOV 2014,14222317.0,Plastic cards
Debit card,NOV 2014,44604944.0,Plastic cards
Credit card,DEC 2014,20303751.0,Plastic cards
ATM card,DEC 2014,14215370.0,Plastic cards
Debit card,DEC 2014,44823517.0,Plastic cards
Credit card,JAN 2015,20369039.0,Plastic cards
ATM card,JAN 2015,14175857.0,Plastic cards
Debit card,JAN 2015,45084799.0,Plastic cards
Credit card,FEB 2015,20460928.0,Plastic cards
ATM card,FEB 2015,13812728.0,Plastic cards
Debit card,FEB 2015,45161427.0,Plastic cards
Credit card,MAR 2015,20557742.0,Plastic cards
ATM card,MAR 2015,14055991.0,Plastic cards
Debit card,MAR 2015,45362433.0,Plastic cards
Credit card,APR 2015,20676655.0,Plastic cards
ATM card,APR 2015,14063565.0,Plastic cards
Debit card,APR 2015,45390030.0,Plastic cards
Credit card,MAY 2015,20791517.0,Plastic cards
ATM card,MAY 2015,14055234.0,Plastic cards
Debit card,MAY 2015,45509890.0,Plastic cards
Credit card,JUN 2015,20820059.0,Plastic cards
ATM card,JUN 2015,13935011.0,Plastic cards
Debit card,JUN 2015,45753855.0,Plastic cards
Credit card,JUL 2015,21005615.0,Plastic cards
ATM card,JUL 2015,13884292.0,Plastic cards
Debit card,JUL 2015,46095198.0,Plastic cards
Credit card,AUG 2015,21046075.0,Plastic cards
ATM card,AUG 2015,13665673.0,Plastic cards
Debit card,AUG 2015,46409914.0,Plastic cards
Credit card,SEP 2015,21227366.0,Plastic cards
ATM card,SEP 2015,13639163.0,Plastic cards
Debit card,SEP 2015,46414404.0,Plastic cards
Credit card,OCT 2015,21415235.0,Plastic cards
ATM card,OCT 2015,13553477.0,Plastic cards
Debit card,OCT 2015,46634465.0,Plastic cards
Credit card,NOV 2015,21592128.0,Plastic cards
ATM card,NOV 2015,13465912.0,Plastic cards
Debit card,NOV 2015,46940599.0,Plastic cards
Credit card,DEC 2015,18974195.0,Plastic cards
ATM card,DEC 2015,13397755.0,Plastic cards
Debit card,DEC 2015,46989719.0,Plastic cards
Credit card,JAN 2016,19059149.0,Plastic cards
ATM card,JAN 2016,13325157.0,Plastic cards
Debit card,JAN 2016,47073015.0,Plastic cards
Credit card,FEB 2016,19193962.0,Plastic cards
ATM card,FEB 2016,13090380.0,Plastic cards
Debit card,FEB 2016,47347794.0,Plastic cards
Credit card,MAR 2016,19349497.0,Plastic cards
ATM card,MAR 2016,12988908.0,Plastic cards
Debit card,MAR 2016,46966348.0,Plastic cards
Credit card,APR 2016,19405896.0,Plastic cards
ATM card,APR 2016,12910826.0,Plastic cards
Debit card,APR 2016,47042635.0,Plastic cards
Credit card,MAY 2016,19504181.0,Plastic cards
ATM card,MAY 2016,12663844.0,Plastic cards
Debit card,MAY 2016,47546573.0,Plastic cards
Credit card,JUN 2016,19756586.0,Plastic cards
ATM card,JUN 2016,12252960.0,Plastic cards
Debit card,JUN 2016,48057951.0,Plastic cards
Credit card,JUL 2016,19749585.0,Plastic cards
ATM card,JUL 2016,11992928.0,Plastic cards
Debit card,JUL 2016,48314249.0,Plastic cards
Credit card,AUG 2016,19866753.0,Plastic cards
ATM card,AUG 2016,11600984.0,Plastic cards
Debit card,AUG 2016,48904972.0,Plastic cards
Credit card,SEP 2016,20021095.0,Plastic cards
ATM card,SEP 2016,11343364.0,Plastic cards
Debit card,SEP 2016,48668007.0,Plastic cards
Credit card,OCT 2016,20109046.0,Plastic cards
ATM card,OCT 2016,11164520.0,Plastic cards
Debit card,OCT 2016,49242310.0,Plastic cards
Credit card,NOV 2016,20179739.0,Plastic cards
ATM card,NOV 2016,10976819.0,Plastic cards
Debit card,NOV 2016,49755827.0,Plastic cards
Credit card,DEC 2016,20136341.0,Plastic cards
ATM card,DEC 2016,10791481.0,Plastic cards
Debit card,DEC 2016,50199427.0,Plastic cards
Credit card,JAN 2017,20003382.0,Plastic cards
ATM card,JAN 2017,10615767.0,Plastic cards
Debit card,JAN 2017,50654913.0,Plastic cards
Credit card,FEB 2017,19461878.0,Plastic cards
ATM card,FEB 2017,10337604.0,Plastic cards
Debit card,FEB 2017,51056434.0,Plastic cards
Credit card,MAR 2017,19576694.0,Plastic cards
ATM card,MAR 2017,10158922.0,Plastic cards
Debit card,MAR 2017,50997308.0,Plastic cards
Credit card,APR 2017,19631544.0,Plastic cards
ATM card,APR 2017,10014665.0,Plastic cards
Debit card,APR 2017,51441933.0,Plastic cards
Credit card,MAY 2017,19753741.0,Plastic cards
ATM card,MAY 2017,9877299.0,Plastic cards
Debit card,MAY 2017,52169292.0,Plastic cards
Credit card,JUN 2017,19848871.0,Plastic cards
ATM card,JUN 2017,9727396.0,Plastic cards
Debit card,JUN 2017,52752686.0,Plastic cards
Credit card,JUL 2017,19985750.0,Plastic cards
ATM card,JUL 2017,9558822.0,Plastic cards
Debit card,JUL 2017,53210387.0,Plastic cards
Credit card,AUG 2017,20167226.0,Plastic cards
ATM card,AUG 2017,9283837.0,Plastic cards
Debit card,AUG 2017,53744184.0,Plastic cards
Credit card,SEP 2017,20271719.0,Plastic cards
ATM card,SEP 2017,9128709.0,Plastic cards
Debit card,SEP 2017,53266274.0,Plastic cards
Credit card,OCT 2017,20188816.0,Plastic cards
ATM card,OCT 2017,9001073.0,Plastic cards
Debit card,OCT 2017,53683286.0,Plastic cards
Credit card,NOV 2017,20258477.0,Plastic cards
ATM card,NOV 2017,8872868.0,Plastic cards
Debit card,NOV 2017,54001174.0,Plastic cards
Credit card,DEC 2017,20334780.0,Plastic cards
ATM card,DEC 2017,8758043.0,Plastic cards
Debit card,DEC 2017,54329727.0,Plastic cards
Credit card,JAN 2018,20381188.0,Plastic cards
ATM card,JAN 2018,8657248.0,Plastic cards
Debit card,JAN 2018,56191705.0,Plastic cards
Credit card,FEB 2018,20496436.0,Plastic cards
ATM card,FEB 2018,8422093.0,Plastic cards
Debit card,FEB 2018,56785279.0,Plastic cards
Credit card,MAR 2018,20601876.0,Plastic cards
ATM card,MAR 2018,8298526.0,Plastic cards
Debit card,MAR 2018,56758487.0,Plastic cards
Credit card,APR 2018,20727375.0,Plastic cards
ATM card,APR 2018,8198282.0,Plastic cards
Debit card,APR 2018,57397088.0,Plastic cards
Credit card,MAY 2018,20865219.0,Plastic cards
ATM card,MAY 2018,8098319.0,Plastic cards
Debit card,MAY 2018,58191748.0,Plastic cards
Credit card,JUN 2018,21031216.0,Plastic cards
ATM card,JUN 2018,7992960.0,Plastic cards
Debit card,JUN 2018,58853469.0,Plastic cards
Credit card,JUL 2018,21174400.0,Plastic cards
ATM card,JUL 2018,7738626.0,Plastic cards
Debit card,JUL 2018,59739695.0,Plastic cards
Credit card,AUG 2018,21410240.0,Plastic cards
ATM card,AUG 2018,7542966.0,Plastic cards
Debit card,AUG 2018,60558308.0,Plastic cards
Credit card,SEP 2018,21570723.0,Plastic cards
ATM card,SEP 2018,7416205.0,Plastic cards
Debit card,SEP 2018,60349353.0,Plastic cards
Credit card,OCT 2018,21744227.0,Plastic cards
ATM card,OCT 2018,7340957.0,Plastic cards
Debit card,OCT 2018,57062454.0,Plastic cards
Credit card,NOV 2018,21955379.0,Plastic cards
ATM card,NOV 2018,7190161.0,Plastic cards
Debit card,NOV 2018,57323529.0,Plastic cards
Credit card,DEC 2018,22105472.0,Plastic cards
ATM card,DEC 2018,7070699.0,Plastic cards
Debit card,DEC 2018,57408209.0,Plastic cards
Credit card,JAN 2019,22489842.0,Plastic cards
ATM card,JAN 2019,17286057.0,Plastic cards
Debit card,JAN 2019,62766523.0,Plastic cards
Credit card,FEB 2019,22639793.0,Plastic cards
ATM card,FEB 2019,17149885.0,Plastic cards
Debit card,FEB 2019,63174692.0,Plastic cards
Credit card,MAR 2019,22748177.0,Plastic cards
ATM card,MAR 2019,16964334.0,Plastic cards
Debit card,MAR 2019,63316983.0,Plastic cards
Credit card,APR 2019,22931265.0,Plastic cards
ATM card,APR 2019,16839648.0,Plastic cards
Debit card,APR 2019,63769557.0,Plastic cards
Credit card,MAY 2019,23195820.0,Plastic cards
ATM card,MAY 2019,16749828.0,Plastic cards
Debit card,MAY 2019,64190382.0,Plastic cards
Credit card,JUN 2019,23399934.0,Plastic cards
ATM card,JUN 2019,16702684.0,Plastic cards
Debit card,JUN 2019,64417460.0,Plastic cards
Credit card,JUL 2019,23582094.0,Plastic cards
ATM card,JUL 2019,16646209.0,Plastic cards
Debit card,JUL 2019,65011214.0,Plastic cards
Credit card,AUG 2019,23319866.0,Plastic cards
ATM card,AUG 2019,16505805.0,Plastic cards
Debit card,AUG 2019,65109895.0,Plastic cards
Credit card,SEP 2019,23495102.0,Plastic cards
ATM card,SEP 2019,15984168.0,Plastic cards
Debit card,SEP 2019,64043918.0,Plastic cards
Credit card,OCT 2019,23662216.0,Plastic cards
ATM card,OCT 2019,15870205.0,Plastic cards
Debit card,OCT 2019,63901711.0,Plastic cards
Credit card,NOV 2019,23832726.0,Plastic cards
ATM card,NOV 2019,15709981.0,Plastic cards
Debit card,NOV 2019,64150726.0,Plastic cards
Credit card,DEC 2019,23998653.0,Plastic cards
ATM card,DEC 2019,15318234.0,Plastic cards
Debit card,DEC 2019,64772849.0,Plastic cards
Credit card,JAN 2020,24127451.0,Plastic cards
ATM card,JAN 2020,9956668.0,Plastic cards
Debit card,JAN 2020,63499727.0,Plastic cards
Credit card,FEB 2020,24253409.0,Plastic cards
ATM card,FEB 2020,9888385.0,Plastic cards
Debit card,FEB 2020,63457829.0,Plastic cards
Credit card,MAR 2020,24335868.0,Plastic cards
ATM card,MAR 2020,9938619.0,Plastic cards
Debit card,MAR 2020,63320397.0,Plastic cards
Credit card,APR 2020,24325497.0,Plastic cards
ATM card,APR 2020,10099957.0,Plastic cards
Debit card,APR 2020,63893466.0,Plastic cards
Credit card,MAY 2020,24334897.0,Plastic cards
ATM card,MAY 2020,10769325.0,Plastic cards
Debit card,MAY 2020,64639183.0,Plastic cards
Credit card,JUN 2020,24386502.0,Plastic cards
ATM card,JUN 2020,11271622.0,Plastic cards
Debit card,JUN 2020,65024130.0,Plastic cards
Credit card,JUL 2020,24473197.0,Plastic cards
ATM card,JUL 2020,11309806.0,Plastic cards
Debit card,JUL 2020,65204945.0,Plastic cards
Credit card,AUG 2020,24511996.0,Plastic cards
ATM card,AUG 2020,11239327.0,Plastic cards
Debit card,AUG 2020,65107059.0,Plastic cards
Credit card,SEP 2020,24544472.0,Plastic cards
ATM card,SEP 2020,10793991.0,Plastic cards
Debit card,SEP 2020,64202658.0,Plastic cards
Credit card,OCT 2020,24566183.0,Plastic cards
ATM card,OCT 2020,10772035.0,Plastic cards
Debit card,OCT 2020,63526026.0,Plastic cards
Credit card,NOV 2020,24580919.0,Plastic cards
ATM card,NOV 2020,10733614.0,Plastic cards
Debit card,NOV 2020,63849747.0,Plastic cards
Credit card,DEC 2020,24603787.0,Plastic cards
ATM card,DEC 2020,10688019.0,Plastic cards
Debit card,DEC 2020,64051972.0,Plastic cards
Credit card,JAN 2021,24590371.0,Plastic cards
ATM card,JAN 2021,10676045.0,Plastic cards
Debit card,JAN 2021,64259197.0,Plastic cards
Credit card,FEB 2021,24626610.0,Plastic cards
ATM card,FEB 2021,10657593.0,Plastic cards
Debit card,FEB 2021,64305201.0,Plastic cards
Credit card,MAR 2021,24726865.0,Plastic cards
ATM card,MAR 2021,10657334.0,Plastic cards
Debit card,MAR 2021,64563577.0,Plastic cards
Credit card,APR 2021,24817824.0,Plastic cards
ATM card,APR 2021,10671060.0,Plastic cards
Debit card,APR 2021,64713742.0,Plastic cards
Credit card,MAY 2021,24834937.0,Plastic cards
ATM card,MAY 2021,10718590.0,Plastic cards
Debit card,MAY 2021,64200631.0,Plastic cards
Credit card,JUN 2021,24930862.0,Plastic cards
ATM card,JUN 2021,10782511.0,Plastic cards
Debit card,JUN 2021,64208867.0,Plastic cards
Credit card,JUL 2021,25008207.0,Plastic cards
ATM card,JUL 2021,10848663.0,Plastic cards
Debit card,JUL 2021,64162211.0,Plastic cards
Credit card,AUG 2021,25021380.0,Plastic cards
ATM card,AUG 2021,10972120.0,Plastic cards
Debit card,AUG 2021,64178191.0,Plastic cards
Credit card,SEP 2021,25053643.0,Plastic cards
ATM card,SEP 2021,11049064.0,Plastic cards
Debit card,SEP 2021,63429533.0,Plastic cards
Credit card,OCT 2021,25018690.0,Plastic cards
ATM card,OCT 2021,11093290.0,Plastic cards
Debit card,OCT 2021,63263642.0,Plastic cards
Credit card,NOV 2021,24027622.0,Plastic cards
ATM card,NOV 2021,11124316.0,Plastic cards
Debit card,NOV 2021,64894799.0,Plastic cards
Credit card,DEC 2021,24091730.0,Plastic cards
ATM card,DEC 2021,11219440.0,Plastic cards
Debit card,DEC 2021,64846431.0,Plastic cards
Credit card,JAN 2022,24135544.0,Plastic cards
ATM card,JAN 2022,11252883.0,Plastic cards
Debit card,JAN 2022,64980338.0,Plastic cards
Credit card,FEB 2022,24191834.0,Plastic cards
ATM card,FEB 2022,11253299.0,Plastic cards
Debit card,FEB 2022,64807396.0,Plastic cards
Credit card,MAR 2022,24290679.0,Plastic cards
ATM card,MAR 2022,11232745.0,Plastic cards
Debit card,MAR 2022,63579754.0,Plastic cards
Credit card,APR 2022,24362676.0,Plastic cards
ATM card,APR 2022,11153551.0,Plastic cards
Debit card,APR 2022,63504082.0,Plastic cards
Credit card,MAY 2022,24436755.0,Plastic cards
ATM card,MAY 2022,11063205.0,Plastic cards
Debit card,MAY 2022,63509238.0,Plastic cards
Credit card,JUN 2022,24516886.0,Plastic cards
ATM card,JUN 2022,10994801.0,Plastic cards
Debit card,JUN 2022,63551921.0,Plastic cards
Credit card,JUL 2022,24579189.0,Plastic cards
ATM card,JUL 2022,11516084.0,Plastic cards
Debit card,JUL 2022,63434426.0,Plastic cards
Credit card,AUG 2022,24673811.0,Plastic cards
ATM card,AUG 2022,10740942.0,Plastic cards
Debit card,AUG 2022,63434426.0,Plastic cards
